lmr_id,fy_qtr,cat_type,category,subcategory,netsales,litres,created_at
6212,FY2018Q2,Spirits,Rum,White Rum,7933901,327344,2025-06-17T02:36:14Z
6217,FY2018Q2,Spirits,Tequila,Blanco/Silver Tequila,3365841,91446,2025-06-17T02:36:14Z
6222,FY2018Q2,Spirits,Tequila,Flavoured Tequila,147876,3899,2025-06-17T02:36:14Z
6227,FY2018Q2,Spirits,Tequila,Gold Tequila,6570037,192453,2025-06-17T02:36:14Z
6232,FY2018Q2,Spirits,Tequila,Mezcal,138155,2295,2025-06-17T02:36:14Z
6237,FY2018Q2,Spirits,Vodka,Flavoured Vodka,3821370,143012,2025-06-17T02:36:14Z
6242,FY2018Q2,Spirits,Vodka,Straight Vodka,53991866,2153137,2025-06-17T02:36:14Z
6247,FY2018Q2,Spirits,Whisky,American Whiskey,2456351,76838,2025-06-17T02:36:14Z
6252,FY2018Q2,Spirits,Whisky,Blended Malt Scotch Whisky,100356,1323,2025-06-17T02:36:14Z
6257,FY2018Q2,Spirits,Whisky,Blended Scotch Whisky,7051331,238944,2025-06-17T02:36:14Z
6262,FY2018Q2,Spirits,Whisky,Bourbon Whiskey,3198343,86791,2025-06-17T02:36:14Z
6267,FY2018Q2,Spirits,Whisky,Canadian Whisky,26038107,1052959,2025-06-17T02:36:14Z
6272,FY2018Q2,Spirits,Whisky,Flavoured Whisky,13876,560,2025-06-17T02:36:14Z
6277,FY2018Q2,Spirits,Whisky,Irish Whiskey,2991885,85615,2025-06-17T02:36:14Z
6282,FY2018Q2,Spirits,Whisky,Other Country Whisky,569128,7258,2025-06-17T02:36:14Z
6287,FY2018Q2,Spirits,Whisky,Single Malt Scotch Whisky,8430692,109444,2025-06-17T02:36:14Z
6292,FY2018Q2,Wine,Argentina Wine,Argentina Red Wine,7595240,520777,2025-06-17T02:36:14Z
6297,FY2018Q2,Wine,Argentina Wine,Argentina Rose Wine,144473,11023,2025-06-17T02:36:14Z
6302,FY2018Q2,Wine,Argentina Wine,Argentina Sparkling Wine,14512,747,2025-06-17T02:36:14Z
6307,FY2018Q2,Wine,Argentina Wine,Argentina White Wine,819654,68765,2025-06-17T02:36:14Z
6312,FY2018Q2,Wine,Australia Wine,Australia Red Wine,8602426,601193,2025-06-17T02:36:14Z
6317,FY2018Q2,Wine,Australia Wine,Australia Rose Wine,285434,24166,2025-06-17T02:36:14Z
6322,FY2018Q2,Wine,Australia Wine,Australia Sparkling Wine,718655,56065,2025-06-17T02:36:14Z
6327,FY2018Q2,Wine,Australia Wine,Australia White Wine,4950743,450942,2025-06-17T02:36:14Z
6332,FY2018Q2,Wine,Austria Wine,Austria Red Wine,10505,297,2025-06-17T02:36:14Z
6337,FY2018Q2,Wine,Austria Wine,Austria Rose Wine,0,0,2025-06-17T02:36:14Z
6342,FY2018Q2,Wine,Austria Wine,Austria Sparkling Wine,0,0,2025-06-17T02:36:14Z
6347,FY2018Q2,Wine,Austria Wine,Austria White Wine,39673,1555,2025-06-17T02:36:14Z
6352,FY2018Q2,Wine,Bulgaria Wine,Bulgaria Red Wine,12319,1136,2025-06-17T02:36:14Z
6357,FY2018Q2,Wine,Bulgaria Wine,Bulgaria Sparkling Wine,0,0,2025-06-17T02:36:14Z
6358,FY2018Q3,Wine,Bulgaria Wine,Bulgaria Sparkling Wine,0,0,2025-06-17T02:36:14Z
6359,FY2018Q4,Wine,Bulgaria Wine,Bulgaria Sparkling Wine,0,0,2025-06-17T02:36:14Z
6360,FY2019Q1,Wine,Bulgaria Wine,Bulgaria Sparkling Wine,0,0,2025-06-17T02:36:14Z
6361,FY2019Q2,Wine,Bulgaria Wine,Bulgaria Sparkling Wine,0,0,2025-06-17T02:36:14Z
6362,FY2018Q2,Wine,Bulgaria Wine,Bulgaria White Wine,0,0,2025-06-17T02:36:14Z
6367,FY2018Q2,Wine,Canada - BC,Canada - BC Dessert Wine,451641,9040,2025-06-17T02:36:14Z
6372,FY2018Q2,Wine,Canada - BC,Canada - BC Fruit Wine,1897729,82235,2025-06-17T02:36:14Z
6377,FY2018Q2,Wine,Canada - BC,Canada - BC Ice Wine,2639318,22020,2025-06-17T02:36:14Z
6382,FY2018Q2,Wine,Canada - BC,Canada - BC Red Wine,66464000,4579680,2025-06-17T02:36:14Z
6387,FY2018Q2,Wine,Canada - BC,Canada - BC Rose Wine,7761689,503563,2025-06-17T02:36:14Z
6392,FY2018Q2,Wine,Canada - BC,Canada - BC Sparkling Wine,3400174,139747,2025-06-17T02:36:14Z
6397,FY2018Q2,Wine,Canada - BC,Canada - BC White Wine,68265034,5771401,2025-06-17T02:36:14Z
6402,FY2018Q2,Wine,Canada - Other,Canada - Other Dessert Wine,4141,130,2025-06-17T02:36:14Z
6407,FY2018Q2,Wine,Canada - Other,Canada - Other Fruit Wine,10529,177,2025-06-17T02:36:14Z
6412,FY2018Q2,Wine,Canada - Other,Canada - Other Ice Wine,1504265,19943,2025-06-17T02:36:14Z
6417,FY2018Q2,Wine,Canada - Other,Canada - Other Red Wine,379963,26356,2025-06-17T02:36:14Z
6422,FY2018Q2,Wine,Canada - Other,Canada - Other Rose Wine,1155,62,2025-06-17T02:36:14Z
6427,FY2018Q2,Wine,Canada - Other,Canada - Other Sparkling Wine,354856,56172,2025-06-17T02:36:14Z
6432,FY2018Q2,Wine,Canada - Other,Canada - Other White Wine,216189,18322,2025-06-17T02:36:14Z
6437,FY2018Q2,Wine,Chile Wine,Chile Fruit and Dessert Wine,5234,144,2025-06-17T02:36:14Z
6442,FY2018Q2,Wine,Chile Wine,Chile Red Wine,6411880,596385,2025-06-17T02:36:14Z
6447,FY2018Q2,Wine,Chile Wine,Chile Rose Wine,123259,11844,2025-06-17T02:36:14Z
6452,FY2018Q2,Wine,Chile Wine,Chile Sparkling Wine,43781,2546,2025-06-17T02:36:14Z
6457,FY2018Q2,Wine,Chile Wine,Chile White Wine,3518211,360291,2025-06-17T02:36:14Z
6462,FY2018Q2,Wine,China Wine,China Red Wine,1837,4,2025-06-17T02:36:14Z
6467,FY2018Q2,Wine,China Wine,China White Wine,0,0,2025-06-17T02:36:14Z
6472,FY2018Q2,Wine,Fortified Wine,Other Fortified Domestic Wine,1532552,133908,2025-06-17T02:36:14Z
6477,FY2018Q2,Wine,Fortified Wine,Other Fortified Import Wine,414857,28375,2025-06-17T02:36:14Z
6482,FY2018Q2,Wine,Fortified Wine,Port Wine,618306,18226,2025-06-17T02:36:14Z
6487,FY2018Q2,Wine,Fortified Wine,Sherry Wine,191918,10188,2025-06-17T02:36:14Z
6492,FY2018Q2,Wine,Fortified Wine,Vermouth Wine,490810,49070,2025-06-17T02:36:14Z
6497,FY2018Q2,Wine,France Wine,France Champagne Wine,3955522,42546,2025-06-17T02:36:14Z
6502,FY2018Q2,Wine,France Wine,France Fruit and Dessert Wine,14226,279,2025-06-17T02:36:14Z
6507,FY2018Q2,Wine,France Wine,France Red Wine,8273952,364133,2025-06-17T02:36:14Z
6512,FY2018Q2,Wine,France Wine,France Rose Wine,2363860,150914,2025-06-17T02:36:14Z
6517,FY2018Q2,Wine,France Wine,France Sparkling Wine,710563,42372,2025-06-17T02:36:14Z
6522,FY2018Q2,Wine,France Wine,France White Wine,3543249,177375,2025-06-17T02:36:14Z
6527,FY2018Q2,Wine,Georgia Wine,Georgia Red Wine,38832,2149,2025-06-17T02:36:14Z
6532,FY2018Q2,Wine,Georgia Wine,Georgia White Wine,0,0,2025-06-17T02:36:14Z
6537,FY2018Q2,Wine,Germany Wine,Germany Fruit and Dessert Wine,0,0,2025-06-17T02:36:14Z
6542,FY2018Q2,Wine,Germany Wine,Germany Red Wine,25928,1794,2025-06-17T02:36:14Z
6547,FY2018Q2,Wine,Germany Wine,Germany Rose Wine,13454,927,2025-06-17T02:36:14Z
6552,FY2018Q2,Wine,Germany Wine,Germany Sparkling Wine,597500,36362,2025-06-17T02:36:14Z
6557,FY2018Q2,Wine,Germany Wine,Germany White Wine,1227745,88855,2025-06-17T02:36:14Z
